
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02252
    c    v      wtot      wmax     ikmax
    3   12   0.00003   0.00001         7
    4    1   0.00333   0.00107         4
    4    2   0.02655   0.00975         5
    4    3   0.00288   0.00099         3
    4    4   0.00618   0.00272         4
    4    5   0.00236   0.00200         3
    4    6   0.00010   0.00004         3
    4    7   0.00039   0.00016         3
    4    8   0.00024   0.00008         4
    4    9   0.00025   0.00021         1
    4   10   0.00006   0.00003         6
    4   11   0.00012   0.00007         2
    4   12   0.00003   0.00001         1
    5    1   0.00205   0.00058         1
    5    2   0.00081   0.00041         2
    5    3   0.00792   0.00594         3
    5    4   0.00117   0.00035         4
    5    5   0.00141   0.00117         3
    5    6   0.00007   0.00004         2
    5    7   0.00012   0.00008         3
    5    8   0.00009   0.00003         4
    5    9   0.00004   0.00002         3
    5   10   0.00005   0.00003         3
    5   11   0.00005   0.00002         2
    5   12   0.00004   0.00001         5
    6    1   0.00011   0.00006         2
    6    2   0.00041   0.00016         7
    6    3   0.00134   0.00068         8
    6    4   0.00015   0.00006         8
    6    5   0.00004   0.00004         2
    6    6   0.00005   0.00002         1
    6    7   0.00005   0.00002         2
    6    8   0.00001   0.00001         4
    6    9   0.00002   0.00000         1
    6   10   0.00002   0.00001         8
    6   11   0.00002   0.00001         2
    6   12   0.00001   0.00000         2
    7    1   0.00030   0.00014         2
    7    2   0.00008   0.00006         2
    7    3   0.00042   0.00027         1
    7    4   0.00047   0.00022         2
    7    5   0.00017   0.00009         2
    7    6   0.00000   0.00000         8
    7    7   0.00005   0.00001         1
    7    8   0.00003   0.00001         2
    7    9   0.00001   0.00000         4
    7   10   0.00002   0.00002         1
    7   11   0.00004   0.00003         2
    7   12   0.00001   0.00001         2
    8    1   0.00032   0.00012         7
    8    2   0.00010   0.00004         7
    8    3   0.00019   0.00015         1
    8    4   0.00021   0.00005         2
    8    5   0.00010   0.00003         3
    8    6   0.00005   0.00002         7
    8    7   0.00003   0.00001         1
    8    8   0.00002   0.00001         4
    8    9   0.00003   0.00001         5
    8   10   0.00001   0.00000         4
    8   11   0.00001   0.00001         2
    8   12   0.00001   0.00000         2
    9    1   0.00006   0.00005         5
    9    2   0.00007   0.00002         2
    9    3   0.00022   0.00005         2
    9    4   0.00044   0.00036         1
    9    5   0.00011   0.00004         2
    9    6   0.00004   0.00001         2
    9    7   0.00003   0.00001         8
    9    8   0.00002   0.00001         4
    9    9   0.00003   0.00001         1
    9   10   0.00001   0.00000         6
    9   11   0.00003   0.00002         2
    9   12   0.00002   0.00001         2
   10    1   0.00004   0.00001         1
   10    2   0.00004   0.00001         4
   10    3   0.00011   0.00005         2
   10    4   0.00029   0.00022         2
   10    5   0.00009   0.00006         2
   10    6   0.00002   0.00002         2
   10    7   0.00001   0.00001         1
   10    8   0.00001   0.00001         2
   10    9   0.00001   0.00000         6
   10   10   0.00005   0.00002         5
   10   11   0.00001   0.00000         1
   10   12   0.00001   0.00001         6
   11    1   0.00002   0.00001         2
   11    2   0.00001   0.00000         1
   11    3   0.00003   0.00002         2
   11    4   0.00031   0.00021         2
   11    5   0.00014   0.00012         2
   11    6   0.00001   0.00001         2
   11    7   0.00000   0.00000         5
   11    8   0.00003   0.00002         2
   11    9   0.00002   0.00001         1
